rows=4276
cols=1587
(28, 7, 1978424277)
(28, 11, 1048020146)
(28, 37, 434055236)
(28, 211, 1563908263)
(28, 216, -1244607989)
(28, 265, 1171502021)
(28, 314, 393892202)
(28, 322, 1561142224)
(28, 368, 1961303246)
(28, 415, 1921499750)
(28, 425, -1188889970)
(28, 448, 358669512)
(28, 461, -189270917)
(28, 503, 757458246)
(28, 510, -922019372)
(28, 521, 202930169)
(28, 545, -640759660)
(28, 570, -57261656)
(28, 591, -1269566905)
(28, 643, 818485573)
(28, 652, 1535211890)
(28, 668, -478722851)
(28, 688, 1951094239)
(28, 716, -2078610565)
(28, 724, -566258106)
(28, 742, -704133635)
(28, 744, -92964373)
(28, 751, -1805205853)
(28, 819, 2080506395)
(28, 996, 816633631)
(28, 1007, 1310194760)
(28, 1028, -757181977)
(28, 1083, -1275277745)
(28, 1095, 929520491)
(28, 1161, 1557972392)
(28, 1217, 1883085645)
(28, 1252, 615440100)
(28, 1277, -14568253)
(28, 1303, -123965863)
(28, 1304, -453274521)
(28, 1362, -1817175015)
(28, 1369, -1038040235)
(28, 1395, -1354974169)
(28, 1403, 381237289)
(28, 1413, 1727295448)
(28, 1442, -505171736)
(28, 1501, -1096831953)
(28, 1528, 1055574885)
(28, 1531, 1727132490)
(101, 31, 1947033324)
(101, 190, 315345140)
(101, 198, 1891818687)
(101, 239, -905144508)
(101, 274, -1878150388)
(101, 381, 1904429685)
(101, 390, 469720699)
(101, 397, 1806741464)
(101, 415, -199496844)
(101, 445, 138375276)
(101, 456, 1853025554)
(101, 479, -978596843)
(101, 484, 1359586561)
(101, 500, -1851086544)
(101, 523, -217543858)
(101, 537, 137113653)
(101, 616, -1197292194)
(101, 634, -1399345305)
(101, 694, -916176273)
(101, 700, -1930228885)
(101, 731, -1992846)
(101, 755, 1795079640)
(101, 773, -1707579477)
(101, 890, 841925832)
(101, 1026, 371479598)
(101, 1028, 690263584)
(101, 1052, 538118583)
(101, 1114, 1358375585)
(101, 1182, -1411305947)
(101, 1195, 784766635)
(101, 1241, 399945488)
(101, 1344, 251951704)
(101, 1376, -1943153661)
(101, 1420, -186049526)
(101, 1453, -1714126129)
(101, 1464, -1062634684)
(101, 1554, -470478282)
(101, 1571, 1497275340)
(109, 67, -1061960194)
(109, 96, -1993502306)
(109, 145, 96688212)
(109, 193, -2110652035)
(109, 200, -1203383059)
(109, 207, -1459701159)
(109, 222, -1870247658)
(109, 284, -1062141202)
(109, 294, -337436537)
(109, 397, -1889154981)
(109, 398, 322103733)
(109, 445, 957368990)
(109, 461, -367123950)
(109, 530, -1191445267)
(109, 561, 248226199)
(109, 571, 705133413)
(109, 582, 1692017417)
(109, 614, 605319198)
(109, 671, 431590953)
(109, 699, 976264701)
(109, 709, 637918817)
(109, 734, -1629567308)
(109, 739, -980403413)
(109, 756, 1570333984)
(109, 771, -13404666)
(109, 886, 783514170)
(109, 914, -307132331)
(109, 968, 539395793)
(109, 985, 383618217)
(109, 1004, -711310842)
(109, 1011, -524731561)
(109, 1029, 2003913625)
(109, 1036, 655701055)
